,TENURE,BALANCE_FREQUENCY_RANGE,PURCHASES_FREQUENCY_RANGE,ONEOFF_PURCHASES_FREQUENCY_RANGE,PURCHASES_INSTALLMENTS_FREQUENCY_RANGE,CASH_ADVANCE_FREQUENCY_RANGE,PRC_FULL_PAYMENT_RANGE,BALANCE_RANGE,PURCHASES_RANGE,ONEOFF_PURCHASES_RANGE,INSTALLMENTS_PURCHASES_RANGE,CASH_ADVANCE_RANGE,CREDIT_LIMIT_RANGE,PAYMENTS_RANGE,MINIMUM_PAYMENTS_RANGE,PURCHASES_TRX_RANGE,CASH_ADVANCE_TRX_RANGE,cluster
1983,12,10,10,10,5,5,0,5,3,2,1,5,6,6,3,4,2,2
1984,12,10,0,0,0,4,0,3,0,0,0,2,5,3,2,0,1,1
1985,12,10,10,0,10,0,10,1,2,0,2,0,3,3,1,4,0,0
1986,12,10,10,9,10,1,2,2,4,4,1,1,4,5,1,6,1,2
1987,12,10,0,0,0,1,0,3,0,0,0,3,4,2,2,0,1,3
1988,12,10,0,0,0,3,0,5,0,0,0,5,5,6,4,0,3,1
1989,12,10,10,1,10,0,0,3,1,1,1,0,2,2,5,3,0,0
1990,12,10,8,8,0,0,0,3,2,2,0,0,3,2,3,3,0,2
1991,12,10,10,10,10,0,10,3,6,6,4,0,3,6,1,8,0,2
1992,12,10,1,1,0,2,0,3,1,1,0,1,3,2,2,1,1,3
1993,6,10,10,10,0,0,0,3,2,2,0,0,3,2,3,3,0,2
1994,12,9,2,2,0,2,2,3,1,1,0,2,4,3,1,1,1,3
1995,12,3,1,1,0,0,0,1,1,1,0,0,5,1,1,1,0,3
1996,9,8,8,5,7,2,6,1,3,1,2,1,3,2,1,4,1,0
1997,12,10,10,8,8,2,0,3,3,3,1,1,5,2,3,5,1,2
1998,12,10,0,0,0,3,0,3,0,0,0,1,3,1,2,0,1,3
1999,12,10,7,1,6,0,3,1,1,1,1,0,3,1,1,3,0,0
2000,12,3,0,0,0,1,0,1,0,0,0,4,6,5,1,0,1,3
2001,12,10,0,0,0,2,0,5,0,0,0,3,5,3,3,0,1,1
2002,12,10,0,0,0,1,0,3,0,0,0,1,3,2,2,0,1,3
2003,12,10,0,0,0,6,0,5,0,0,0,4,6,3,4,0,3,1
2004,12,10,6,2,5,0,0,3,3,1,2,0,6,3,1,3,0,2
2005,12,10,1,1,0,0,0,2,3,3,0,0,3,1,1,1,0,3
2006,12,10,1,1,0,0,0,4,1,1,0,0,6,3,3,1,0,3
2007,12,10,10,0,10,1,0,3,2,0,2,1,3,2,2,5,1,0
2008,7,9,0,0,0,3,0,4,0,0,0,4,4,1,2,0,2,1
2009,12,10,6,4,5,0,0,1,3,2,2,0,3,1,1,3,0,0
2010,12,10,5,3,3,2,0,2,1,1,1,2,2,1,1,3,1,3
2011,12,8,3,1,2,0,0,2,2,2,1,0,5,3,1,1,0,3
2012,12,10,10,1,10,0,1,1,3,1,3,0,4,5,2,5,0,0
2013,12,10,4,1,3,0,0,3,1,1,1,0,4,1,2,2,0,3
2014,12,10,0,0,0,3,0,3,0,0,0,4,5,5,1,0,1,1
2015,12,10,10,10,10,0,0,5,5,4,4,0,6,5,3,8,0,2
2016,12,10,10,6,10,4,0,3,3,2,3,2,5,3,1,6,1,2
2017,12,3,5,5,0,0,0,1,1,1,0,0,6,5,1,1,0,3
2018,12,10,10,4,10,4,0,3,3,2,3,2,4,2,2,7,1,2
2019,12,10,0,0,0,3,0,3,0,0,0,3,5,2,2,0,1,1
2020,12,10,9,0,8,10,0,5,1,0,1,5,5,3,3,2,6,1
2021,12,10,7,0,6,0,0,2,1,0,1,0,3,3,1,2,0,0
2022,12,10,10,10,0,0,0,3,2,2,0,0,4,1,1,3,0,2
2023,12,10,10,1,10,1,1,3,3,1,3,2,2,4,4,6,1,2
2024,12,10,10,10,10,0,10,2,5,4,3,0,5,5,1,8,0,2
2025,12,10,10,10,10,0,0,4,5,5,4,0,5,5,2,8,0,2
2026,12,2,1,1,0,0,0,1,1,1,0,0,6,3,2,1,0,3
2027,12,10,1,1,0,0,0,1,1,1,0,0,5,0,2,1,0,3
2028,12,10,8,8,0,3,0,3,3,3,0,3,4,1,2,3,1,2
2029,12,10,5,5,0,0,8,1,4,4,0,0,4,4,1,5,0,2
2030,12,7,7,5,4,0,0,2,1,1,1,0,5,3,1,3,0,0
2031,12,10,10,0,10,0,0,2,3,0,3,0,3,3,1,4,0,0
2032,12,10,9,0,8,1,1,3,2,0,2,3,3,3,1,3,1,0
2033,12,10,10,2,7,0,6,1,2,1,1,0,6,2,1,3,0,0
2034,12,10,2,2,1,10,0,5,3,2,1,4,5,4,3,4,4,1
2035,12,10,0,0,0,3,0,3,0,0,0,1,3,2,1,0,2,3
2036,12,10,0,0,0,1,0,4,0,0,0,2,4,3,3,0,1,1
2037,12,10,10,2,10,2,0,3,1,1,1,1,3,2,2,5,1,0
2038,12,10,0,0,0,1,0,5,0,0,0,3,5,3,4,0,2,1
2039,8,7,2,2,0,3,0,3,1,1,0,4,4,1,3,1,3,1
2040,12,10,10,4,10,4,0,3,3,2,3,3,4,3,3,7,2,2
2041,12,10,5,0,4,0,0,3,1,0,1,0,3,1,1,1,0,3
2042,12,10,10,0,10,0,0,3,1,0,1,0,2,2,2,3,0,0
2043,12,10,1,1,0,4,0,3,1,1,0,3,3,3,1,1,4,1
2044,12,10,1,1,0,3,1,3,1,1,0,5,3,4,1,1,2,1
2045,12,10,2,2,0,5,0,3,2,2,0,4,5,2,2,1,2,1
2046,12,10,10,6,10,2,1,4,5,3,4,4,4,5,4,8,2,2
2047,12,10,10,10,0,0,10,1,3,3,0,0,3,3,1,5,0,2
2048,10,9,3,0,2,4,0,4,1,0,1,5,5,2,3,1,2,1
2049,12,10,0,0,0,1,0,3,0,0,0,1,3,1,1,0,1,3
2050,12,10,0,0,0,5,1,4,0,0,0,1,4,5,3,0,1,1
2051,12,10,10,10,10,0,0,5,5,4,3,0,6,6,3,8,0,2
2052,12,6,5,0,5,0,8,1,1,0,1,0,1,1,1,2,0,0
2053,12,10,4,2,3,0,0,4,1,1,1,0,5,2,2,2,0,3
2054,12,10,10,6,10,0,0,3,5,4,3,0,5,4,2,7,0,2
2055,12,10,9,7,2,0,0,4,4,4,1,0,6,4,2,4,0,2
2056,12,4,0,0,0,1,0,2,0,0,0,3,3,1,2,0,1,3
2057,12,10,4,2,2,0,0,3,1,1,1,0,3,2,1,2,0,3
2058,12,10,2,2,0,3,0,4,1,1,0,3,5,2,3,1,1,1
2059,12,10,10,5,10,0,0,3,4,3,3,0,3,4,2,5,0,2
2060,7,2,2,2,2,2,0,1,2,1,1,1,3,0,2,1,1,3
2061,12,10,0,0,0,2,1,1,0,0,0,3,3,3,1,0,1,3
2062,7,9,0,0,0,5,0,3,0,0,0,4,5,1,2,0,2,1
2063,12,10,1,1,0,0,0,3,1,1,0,0,5,2,3,1,0,3
2064,12,10,3,3,0,0,0,3,1,1,0,0,3,2,1,1,0,3
2065,7,10,3,0,2,5,0,3,1,0,1,4,5,5,1,1,1,1
2066,12,10,2,2,1,0,0,3,1,1,1,0,3,2,2,1,0,3
2067,12,10,10,1,10,0,10,1,3,1,3,0,5,3,1,8,0,0
2068,12,9,4,4,0,0,10,1,4,4,0,0,5,5,1,1,0,2
2069,12,10,10,1,10,1,0,1,2,1,2,1,4,2,1,6,1,0
2070,12,10,0,0,0,10,0,4,0,0,0,4,5,3,3,0,5,1
2071,12,10,10,8,9,0,4,2,4,4,1,0,3,3,1,7,0,2
2072,12,10,6,0,5,5,0,4,1,0,1,2,4,3,3,2,2,1
2073,12,3,2,0,2,0,0,1,1,0,1,0,3,1,1,1,0,3
2074,12,10,10,6,9,2,1,2,4,4,1,3,5,5,1,6,1,2
2075,11,9,1,1,0,3,2,3,1,1,0,5,3,4,2,1,3,1
2076,12,10,10,0,10,0,8,1,1,0,1,0,3,1,1,3,0,0
2077,12,10,10,10,6,0,0,3,5,4,1,0,5,6,2,7,0,2
2078,12,10,1,1,0,0,0,3,2,2,0,0,4,2,1,1,0,3
2079,12,10,10,1,10,5,0,5,2,1,2,3,6,3,3,5,2,1
2080,12,10,9,3,8,5,0,5,2,2,1,5,6,3,3,3,2,1
2081,12,10,8,6,5,0,0,3,3,3,3,0,5,3,1,5,0,2
2082,12,10,10,5,10,0,0,3,4,3,3,0,5,3,2,6,0,2
2083,12,10,0,0,0,4,0,1,0,0,0,3,5,2,1,0,1,3
2084,12,10,10,1,10,0,1,3,4,3,2,0,3,3,1,3,0,2
2085,12,10,3,0,2,0,0,3,1,0,1,0,3,1,1,1,0,3
2086,11,10,10,8,4,6,0,4,2,1,1,3,6,3,2,4,2,1
2087,12,5,5,0,4,3,0,3,3,0,3,4,4,4,3,1,2,1
2088,12,10,10,10,10,0,0,6,4,3,3,0,6,3,3,8,0,2
2089,12,10,0,0,0,5,0,2,0,0,0,3,5,2,1,0,1,1
2090,12,10,3,3,0,1,0,5,1,1,0,3,6,3,3,1,1,1
2091,7,6,0,0,0,2,5,1,0,0,0,3,3,3,1,0,1,3
2092,12,10,8,8,3,5,2,4,4,4,2,6,5,6,3,7,3,2
2093,12,10,10,0,10,0,0,2,1,0,1,0,2,1,2,3,0,0
2094,12,10,10,6,10,0,8,1,3,1,3,0,6,3,1,6,0,2
2095,12,10,10,3,10,3,0,3,4,3,3,4,5,4,2,7,2,2
2096,10,9,0,0,0,3,3,1,0,0,0,1,5,2,1,0,1,3
2097,6,7,0,0,0,4,0,2,0,0,0,3,3,1,1,0,1,3
2098,10,10,1,1,0,0,0,3,1,1,0,0,3,1,1,1,0,3
2099,12,7,5,0,5,0,6,1,1,0,1,0,3,1,1,1,0,0
2100,12,10,0,0,0,2,0,3,0,0,0,2,5,3,2,0,1,1
2101,12,10,0,0,0,5,3,4,0,0,0,6,6,6,2,0,4,1
2102,12,6,5,2,5,0,4,1,2,1,2,0,6,2,1,2,0,0
2103,12,10,5,5,1,0,0,3,2,2,1,0,5,1,1,2,0,3
2104,12,10,1,1,0,0,0,1,1,1,0,0,3,1,1,1,0,3
2105,12,10,0,0,0,3,0,3,0,0,0,1,3,2,2,0,1,3
2106,12,10,0,0,0,3,0,4,0,0,0,4,5,3,2,0,1,1
2107,12,10,10,10,3,0,10,1,2,1,2,0,6,2,1,4,0,2
2108,12,10,0,0,0,7,0,3,0,0,0,1,3,2,2,0,2,1
2109,12,10,10,10,10,0,8,1,3,3,2,0,3,3,1,7,0,2
2110,12,10,10,2,10,0,5,1,2,1,2,0,4,3,1,5,0,0
2111,12,10,0,0,0,4,0,3,0,0,0,1,3,2,2,0,1,3
2112,12,10,9,5,7,0,0,2,3,3,1,0,3,3,1,6,0,2
2113,12,10,1,1,0,0,0,2,2,2,0,0,5,2,3,1,0,3
2114,12,10,2,2,0,2,0,4,3,3,0,1,4,3,3,3,1,1
2115,12,10,10,10,10,0,0,2,3,1,3,0,5,3,1,7,0,2
2116,12,10,10,10,4,0,7,1,3,2,1,0,5,3,1,5,0,2
2117,9,10,0,0,0,2,0,3,0,0,0,2,3,1,1,0,1,3
2118,12,10,0,0,0,1,0,3,0,0,0,3,4,3,1,0,1,3
2119,12,10,0,0,0,5,0,3,0,0,0,3,3,1,1,0,2,1
2120,12,10,0,0,0,4,0,4,0,0,0,4,5,3,3,0,1,1
2121,12,10,0,0,0,1,0,3,0,0,0,3,3,3,1,0,1,3
2122,12,10,9,0,8,0,0,3,2,0,2,0,3,2,1,2,0,0
2123,12,10,2,2,0,5,0,3,1,1,0,1,3,1,1,1,1,3
2124,12,10,10,5,10,0,0,3,2,2,1,0,3,3,3,5,0,2
2125,12,10,10,4,10,0,9,1,3,1,3,0,5,3,1,5,0,0
2126,12,9,6,2,4,0,7,1,1,1,1,0,3,2,1,4,0,0
2127,12,10,2,1,1,0,0,1,3,3,1,0,3,3,1,1,0,3
2128,12,10,5,0,5,0,5,1,2,0,2,0,5,3,1,2,0,0
2129,12,10,10,10,10,0,8,1,4,2,4,0,5,4,1,7,0,2
2130,12,10,4,1,2,2,0,3,1,1,1,1,3,2,2,1,1,3
2131,12,10,0,0,0,7,0,5,0,0,0,4,5,3,3,0,3,1
2132,12,10,10,10,10,0,9,1,4,3,3,0,5,4,1,6,0,2
2133,12,10,1,1,0,0,0,1,1,1,0,0,3,1,1,1,0,3
2134,12,10,10,0,10,0,0,1,1,0,1,0,2,1,1,3,0,0
2135,12,10,4,0,3,0,0,1,1,0,1,0,3,1,1,1,0,3
2136,12,10,10,2,10,0,8,1,3,1,3,0,4,3,1,7,0,0
2137,12,8,3,3,0,0,0,1,1,1,0,0,5,3,1,1,0,3
2138,12,10,10,10,5,0,0,3,3,3,1,0,5,3,1,4,0,2
2139,12,10,0,0,0,1,0,3,0,0,0,1,3,2,2,0,1,3
2140,12,10,10,4,10,0,0,4,3,2,3,0,6,3,2,6,0,2
2141,11,9,4,4,0,1,8,1,3,3,0,1,4,4,1,2,1,2
2142,10,1,2,2,0,0,0,1,1,1,0,0,5,0,2,1,0,3
2143,12,10,10,10,0,0,0,5,5,5,0,0,6,3,3,3,0,2
2144,12,8,6,0,6,0,0,1,2,0,2,0,3,3,1,2,0,0
2145,12,10,5,0,5,1,0,3,1,0,1,1,5,4,1,2,1,3
2146,12,10,9,9,0,0,3,2,4,4,0,0,4,4,1,4,0,2
2147,12,10,9,5,5,2,0,2,2,1,1,1,3,1,1,3,1,0
2148,12,9,0,0,0,3,2,3,0,0,0,4,3,3,2,0,1,1
2149,12,10,0,0,0,1,0,3,0,0,0,2,5,2,1,0,1,3
2150,12,10,10,10,0,0,2,1,1,1,0,0,5,4,1,3,0,2
2151,12,9,5,0,5,0,5,1,1,0,1,0,2,1,1,2,0,0
2152,6,10,10,10,9,4,0,4,3,3,2,4,5,2,3,7,3,2
2153,12,10,10,1,10,1,0,5,2,1,1,2,4,3,3,3,1,0
2154,12,10,10,10,0,0,9,1,2,2,0,0,6,2,1,5,0,2
2155,12,10,0,0,0,1,0,4,0,0,0,3,4,2,3,0,1,1
2156,12,10,0,0,0,3,0,3,0,0,0,1,3,2,3,0,2,1
2157,12,10,10,8,8,0,0,3,3,3,2,0,4,2,1,7,0,2
2158,12,10,10,7,8,0,1,2,3,3,1,0,3,3,1,6,0,2
2159,12,10,6,3,5,10,0,6,1,1,1,6,6,6,5,5,8,1
2160,12,3,2,2,0,0,0,1,2,2,0,0,4,1,1,1,0,3
2161,12,10,9,4,7,0,0,3,2,1,1,0,5,1,1,4,0,0
2162,12,10,10,0,10,0,9,1,3,0,3,0,6,3,1,4,0,0
2163,12,9,1,1,0,3,0,3,1,1,0,1,4,4,1,1,1,3
2164,12,10,10,5,10,0,0,3,3,2,3,0,6,3,1,8,0,2
2165,12,10,10,0,10,0,0,3,3,0,3,0,6,3,1,5,0,0
2166,12,10,0,0,0,6,0,3,0,0,0,1,3,2,2,0,2,1
2167,12,10,0,0,0,2,0,3,0,0,0,1,4,2,2,0,1,3
2168,12,7,10,0,10,0,0,1,2,0,2,0,3,2,1,4,0,0
2169,12,10,3,3,0,0,3,1,1,1,0,0,4,4,4,1,0,3
2170,12,2,2,0,1,0,0,1,1,0,1,0,6,0,2,1,0,3
2171,11,10,0,0,0,5,1,3,0,0,0,4,3,4,1,0,5,1
2172,12,10,9,0,9,0,0,1,3,0,3,0,5,3,1,2,0,0
2173,12,10,0,0,0,1,0,3,0,0,0,1,3,1,1,0,1,3
2174,8,7,0,0,0,7,0,3,0,0,0,4,4,1,2,0,3,1
2175,12,10,10,1,9,0,1,1,2,1,1,0,6,2,1,3,0,0
2176,12,10,10,0,10,0,0,1,1,0,1,0,4,1,1,3,0,0
2177,12,10,10,10,10,0,10,1,3,2,3,0,5,3,1,6,0,2
2178,12,0,10,0,10,0,0,0,1,0,1,0,4,0,2,3,0,0
2179,12,10,3,3,0,3,0,4,2,2,0,2,4,3,3,2,1,1
2180,12,10,0,0,0,3,0,3,0,0,0,2,3,2,1,0,1,3
2181,12,10,1,1,0,4,0,3,1,1,0,3,3,2,2,1,2,1
2182,12,10,10,10,3,0,0,4,2,2,1,0,5,3,3,3,0,2
2183,12,10,10,0,10,1,0,3,3,0,3,3,3,3,3,5,1,0
2184,12,10,0,0,0,1,0,3,0,0,0,1,3,2,2,0,1,3
2185,12,10,10,4,9,0,0,4,3,1,2,0,6,2,2,5,0,2
2186,12,6,2,2,0,0,0,1,1,1,0,0,4,2,1,1,0,3
2187,12,10,5,5,5,0,0,1,3,3,1,0,3,1,3,4,0,2
2188,12,10,10,10,5,0,10,1,3,3,1,0,5,3,1,6,0,2
2189,12,10,0,0,0,2,0,5,0,0,0,3,5,3,3,0,1,1
2190,12,10,0,0,0,4,0,3,0,0,0,4,4,3,2,0,1,1
2191,10,10,0,0,0,5,0,3,0,0,0,3,3,1,1,0,2,1
2192,12,10,0,0,0,1,0,3,0,0,0,1,3,2,2,0,1,3
2193,12,10,1,1,0,3,0,3,1,1,0,3,3,2,1,1,1,3
2194,12,10,1,1,0,1,0,4,1,1,0,2,5,2,2,1,1,1
2195,12,9,5,0,5,0,0,1,2,0,2,0,4,2,1,2,0,0
2196,11,9,0,0,0,2,0,5,0,0,0,5,6,3,3,0,2,1
2197,12,10,10,0,9,0,0,3,2,0,2,0,3,3,4,5,0,0
2198,12,10,1,1,0,5,3,2,1,1,0,3,5,3,1,1,3,1
2199,12,2,1,1,0,0,10,1,1,1,0,0,5,1,1,1,0,3
2200,12,10,0,0,0,5,0,4,0,0,0,3,4,3,2,0,2,1
2201,12,8,5,1,3,0,2,1,1,1,1,0,5,1,1,1,0,3
2202,12,10,4,0,4,5,0,3,1,0,1,2,3,2,1,1,2,1
2203,12,10,8,6,5,0,0,3,3,3,2,0,6,3,1,6,0,2
2204,11,10,10,9,9,1,0,3,4,3,3,2,6,5,2,7,1,2
2205,12,10,10,10,10,0,0,4,4,3,3,0,5,3,3,7,0,2
2206,12,10,6,6,0,5,0,5,2,2,0,5,5,3,3,3,3,1
2207,12,9,8,0,7,0,2,1,1,0,1,0,4,1,1,2,0,0
2208,12,10,10,10,0,2,7,1,3,3,0,3,5,5,1,6,1,2
2209,12,10,10,0,10,0,9,1,1,0,1,0,3,1,1,3,0,0
2210,12,10,1,1,0,6,0,5,1,1,0,4,6,3,3,1,3,1
2211,12,10,0,0,0,2,0,3,0,0,0,1,3,2,1,0,1,3
2212,12,10,10,2,10,3,0,5,3,2,3,4,6,4,4,4,1,2
2213,12,10,1,0,1,0,0,2,1,0,1,0,6,2,1,1,0,3
2214,12,10,10,10,0,0,0,4,1,1,0,0,5,3,3,3,0,2
2215,12,10,0,0,0,5,0,5,0,0,0,4,5,3,3,0,3,1
2216,10,5,5,5,0,0,10,1,3,3,0,0,5,3,1,5,0,2
2217,11,10,10,4,8,0,10,1,3,2,3,0,4,6,1,4,0,2
2218,12,10,10,10,7,0,0,1,3,3,3,0,5,3,1,6,0,2
2219,12,10,3,3,0,0,0,3,2,2,0,0,3,3,1,1,0,3
2220,12,10,10,10,10,0,0,3,3,1,3,0,5,3,1,5,0,2
2221,12,10,4,0,4,0,0,1,0,0,0,0,4,1,1,0,0,3
2222,12,10,10,0,10,0,4,2,1,0,1,0,3,3,1,3,0,0
2223,10,2,1,0,1,0,0,1,1,0,1,0,5,0,2,1,0,3
2224,12,10,0,0,0,1,0,3,0,0,0,1,3,2,1,0,1,3
2225,12,10,10,10,10,0,3,1,3,3,2,0,3,3,1,7,0,2
2226,12,10,7,2,5,3,3,2,3,1,2,4,3,4,1,2,2,0
2227,12,10,0,0,0,2,0,3,0,0,0,1,3,1,2,0,1,3
2228,10,5,2,2,0,0,0,1,1,1,0,0,5,2,1,1,0,3
2229,12,10,0,0,0,1,0,1,0,0,0,1,2,1,1,0,1,3
2230,12,10,10,4,10,0,6,1,2,1,2,0,5,2,1,5,0,0
2231,12,1,5,0,5,0,0,1,1,0,1,0,6,1,1,1,0,3
2232,12,10,10,6,10,5,0,4,3,3,1,3,5,3,3,6,2,2
2233,12,9,7,0,6,0,3,1,1,0,1,0,3,1,1,2,0,0
2234,12,10,0,0,0,1,0,3,0,0,0,1,3,2,1,0,1,3
2235,12,10,6,5,2,2,0,2,3,3,1,4,5,4,1,5,2,2
2236,12,10,10,10,4,0,0,3,2,2,1,0,3,3,3,4,0,2
2237,9,10,0,0,0,2,0,2,0,0,0,1,2,1,1,0,1,3
2238,12,9,6,5,4,0,5,1,2,2,1,0,6,3,1,3,0,2
2239,11,10,10,2,10,2,2,3,1,1,1,2,5,3,1,3,1,0
2240,12,10,0,0,0,9,2,4,0,0,0,6,6,6,3,0,7,1
2241,12,10,10,10,5,0,5,1,3,2,1,0,5,3,1,6,0,2
2242,12,10,1,1,0,0,0,4,3,3,0,0,5,3,3,1,0,3
2243,12,6,1,1,0,0,0,1,1,1,0,0,4,1,1,1,0,3
2244,12,10,10,3,10,2,0,3,2,1,1,1,3,2,3,6,1,0
2245,12,10,10,0,10,0,10,1,3,0,3,0,5,3,1,5,0,0
2246,11,10,0,0,0,3,2,2,0,0,0,4,3,4,2,0,1,1
2247,12,10,3,3,0,1,0,3,1,1,0,1,3,2,1,1,1,3
2248,12,10,0,0,0,4,1,2,0,0,0,3,3,3,1,0,3,1
2249,12,10,5,5,0,6,0,5,3,3,0,3,5,3,3,4,2,1
2250,12,10,10,10,0,0,0,3,1,1,0,0,5,1,2,3,0,2
2251,12,8,10,10,5,0,10,1,4,3,2,0,6,4,1,6,0,2
2252,12,10,4,4,3,0,1,1,1,1,1,0,5,3,1,2,0,3
2253,12,10,10,5,8,0,0,3,2,2,1,0,3,1,2,4,0,0
2254,12,10,6,4,3,5,0,2,1,1,1,2,5,1,1,2,2,1
2255,12,10,10,2,10,0,0,3,2,1,1,0,3,3,4,4,0,0
2256,11,10,9,9,0,0,1,3,2,2,0,0,4,3,1,2,0,2
2257,12,10,10,10,2,0,2,3,3,3,1,0,6,5,1,6,0,2
2258,12,10,5,1,3,7,0,5,2,2,1,4,5,3,3,3,3,1
2259,12,10,10,9,8,0,10,2,5,4,3,0,5,5,1,7,0,2
2260,9,10,2,2,0,0,0,2,3,3,0,0,3,1,1,1,0,3
2261,12,10,10,10,10,0,9,2,6,5,5,0,6,6,1,8,0,2
2262,12,10,8,0,6,0,2,1,1,0,1,0,5,1,1,2,0,0
2263,12,10,1,1,0,3,0,5,1,1,0,3,6,3,3,1,1,1
2264,12,10,1,1,0,1,0,2,1,1,0,1,2,1,1,1,1,3
2265,12,10,10,10,10,0,5,2,5,4,3,0,4,5,1,8,0,2
2266,10,5,6,1,5,2,0,2,1,1,1,4,4,3,1,2,5,1
2267,12,10,8,4,6,10,1,4,1,1,1,5,5,6,3,3,6,1
2268,8,10,2,2,0,0,0,3,3,3,0,0,3,1,1,1,0,3
2269,6,10,2,2,2,0,0,3,1,1,1,0,5,1,1,1,0,3
2270,12,8,5,5,0,0,5,1,1,1,0,0,4,1,1,2,0,3
2271,12,10,5,1,5,5,0,3,1,1,1,3,5,2,2,2,4,1
2272,12,10,10,10,6,0,1,1,2,2,1,0,5,2,1,5,0,2
2273,12,10,0,0,0,1,0,3,0,0,0,1,3,1,2,0,1,3
2274,12,7,8,0,8,0,0,1,1,0,1,0,4,3,1,3,0,0
2275,12,4,5,5,0,0,0,1,1,1,0,0,5,1,1,1,0,3
2276,12,10,10,10,10,9,1,5,4,4,2,5,6,6,3,7,5,2
2277,12,10,7,5,5,3,0,2,3,3,1,1,5,3,1,3,1,2
2278,12,10,3,3,0,4,1,3,1,1,0,4,3,4,3,2,1,1
2279,12,10,10,10,0,0,3,1,1,1,0,0,5,1,1,3,0,0
2280,12,10,6,0,6,0,0,3,2,0,2,0,3,3,4,2,0,0
2281,12,7,1,1,0,1,2,1,1,1,0,2,5,3,1,1,1,3
2282,12,10,5,5,0,0,0,3,1,1,0,0,3,1,1,2,0,3
2283,12,10,2,2,0,0,0,3,1,1,0,0,3,2,2,1,0,3
2284,12,10,2,2,0,0,0,1,2,2,0,0,5,3,1,1,0,3
2285,12,10,7,2,6,0,0,2,3,2,1,0,3,3,3,3,0,0
2286,12,10,10,5,8,0,1,2,3,3,2,0,3,3,1,6,0,2
2287,12,10,10,0,10,0,0,3,3,0,3,0,3,3,3,6,0,0
2288,12,10,10,6,9,7,0,5,3,2,3,5,5,3,3,6,5,1
2289,12,3,2,2,0,0,0,1,1,1,0,0,3,2,1,1,0,3
2290,12,10,9,0,9,0,0,1,1,0,1,0,5,1,1,2,0,0
2291,12,10,10,10,6,0,2,1,3,3,2,0,5,2,1,6,0,2
2292,12,10,0,0,0,2,0,3,0,0,0,1,3,1,1,0,1,3
2293,12,10,10,0,10,0,0,3,3,0,3,0,4,1,2,5,0,0
2294,12,8,1,1,0,0,0,1,3,3,0,0,3,3,1,1,0,3
2295,11,10,1,1,0,0,0,3,1,1,0,0,3,1,1,1,0,3
2296,12,10,10,10,4,3,0,5,4,4,2,3,6,3,3,7,1,2
2297,12,4,1,1,0,0,0,1,1,1,0,0,4,1,1,1,0,3
2298,12,10,10,10,0,5,1,3,1,1,0,3,3,3,2,3,4,1
2299,11,8,0,0,0,1,0,2,0,0,0,3,3,1,1,0,1,3
2300,12,10,0,0,0,3,0,2,0,0,0,3,3,3,1,0,1,3
2301,12,10,10,3,10,0,0,1,3,1,3,0,5,3,1,6,0,2
2302,12,10,0,0,0,5,0,4,0,0,0,3,5,3,3,0,2,1
2303,12,10,10,0,10,0,0,3,1,0,1,0,3,1,1,3,0,0
2304,11,8,0,0,0,1,0,2,0,0,0,3,3,1,1,0,1,3
2305,12,6,0,0,0,2,0,3,0,0,0,4,5,3,1,0,1,1
2306,12,10,0,0,0,4,0,5,0,0,0,4,5,3,3,0,2,1
2307,8,0,2,2,0,0,0,0,1,1,0,0,5,0,2,1,0,3
2308,12,7,6,0,6,0,10,1,1,0,1,0,3,1,1,2,0,0
2309,12,10,10,3,10,0,0,4,3,1,3,0,6,3,3,6,0,2
2310,12,10,10,5,10,0,0,4,3,2,3,0,5,3,3,5,0,2
2311,12,10,10,10,10,0,2,3,5,5,3,0,5,5,1,8,0,2
2312,12,10,10,1,9,4,0,3,3,1,2,3,3,3,3,5,3,1
2313,12,10,0,0,0,1,0,3,0,0,0,3,3,1,2,0,1,3
2314,12,10,10,2,10,0,0,1,3,2,2,0,5,3,1,6,0,2
2315,12,10,2,2,0,1,0,1,1,1,0,1,5,1,1,1,1,3
2316,7,9,8,3,6,3,2,2,3,2,2,1,2,2,1,3,1,0
2317,12,10,10,1,10,0,10,1,2,1,2,0,4,2,1,3,0,0
2318,12,10,8,1,6,1,0,3,2,1,2,1,4,2,2,3,1,0
2319,12,10,0,0,0,1,0,2,0,0,0,1,2,1,1,0,1,3
2320,12,10,0,0,0,3,0,3,0,0,0,1,3,1,1,0,1,3
2321,12,3,4,0,4,0,4,1,1,0,1,0,5,1,1,1,0,3
2322,12,10,2,2,0,2,0,4,1,1,0,1,3,2,4,1,2,1
2323,12,2,0,0,0,1,10,1,0,0,0,2,5,3,1,0,1,3
2324,12,10,3,3,0,5,2,3,1,1,0,5,3,4,1,1,2,1
2325,12,10,10,0,10,0,8,1,3,0,3,0,4,3,1,3,0,0
2326,12,4,4,4,0,0,2,1,1,1,0,0,6,1,1,1,0,3
2327,12,10,10,4,10,0,0,3,3,1,2,0,3,1,1,6,0,0
2328,12,10,1,1,0,0,0,1,1,1,0,0,4,1,1,1,0,3
2329,12,10,0,0,0,3,0,5,0,0,0,3,6,4,3,0,2,1
2330,12,10,7,1,5,2,0,3,2,1,2,2,5,1,1,3,1,0
2331,12,10,10,7,5,1,9,1,3,3,1,1,5,3,1,4,1,2
2332,12,10,10,7,10,0,0,4,3,2,3,0,4,3,3,6,0,2
